player_name,fanduel_odds,dg_rank,owgr_rank
"Im, Sungjae",2200,15,22
"Straka, Sepp",2500,22,19
"Berger, Daniel",2800,48,52
"Kitayama, Kurt",4000,63,89
"An, Byeong Hun",4000,64,32
"Thompson, Davis",4000,38,48
"Mitchell, Keith",4000,74,100
"Griffin, Ben",4500,37,57
"Rodgers, Patrick",5000,66,73
"Kim, Michael",5000,50,79
"Eckroat, Austin",5500,68,44
"Horschel, Billy",5500,62,20
"Moore, Taylor",5500,65,78
"Hall, Harry",6000,44,88
"Glover, Lucas",6000,42,41
"Hojgaard, Nicolai",6000,104,68
"Harman, Brian",6000,56,37
"Power, Seamus",7000,61,119
"Hossler, Beau",7000,73,82
"Norgaard, Niklas",7500,86,90
"Gerard, Ryan",8000,100,189
"Kirk, Chris",8000,129,72
"Olesen, Thorbjorn",8000,87,80
"Hughes, Mackenzie",9000,80,64
"Campbell, Brian",9000,84,97
"Echavarria, Nicolas",11000,116,46
"Highsmith, Joe",11000,122,170
"Svensson, Adam",11000,124,145
"Lower, Justin",12000,90,84
"Meissner, Mac",12000,112,154
"Dahmen, Joel",12000,150,182
"Bridgeman, Jacob",12000,108,205
"Putnam, Andrew",15000,77,146
"Fishburn, Patrick",15000,101,113
"Hubbard, Mark",15000,146,112
"Hoey, Rico",15000,174,134
"McGreevy, Max",15000,113,93
"Rozner, Antoine",15000,140,130
"Hisatsune, Ryo",17000,173,110
"Martin, Ben",17000,207,323
"Phillips, Chandler",17000,152,159
"Kohles, Ben",20000,176,141
"McCarty, Matt",22000,166,56
"Young, Carson",25000,188,152
"Norlander, Henrik",25000,158,198
"Kizzire, Patton",35000,198,121
"Hoshino, Rikuya",35000,221,168
