player_name,fanduel_odds,dg_rank,owgr_rank 
"Kitayama, Kurt",2000,51,85
"Rodgers, Patrick",2200,70,75
"Stevens, Samuel",2200,47,76
"Kim, Michael",2500,56,80
"Moore, Taylor",2500,65,78
"Hall, Harry",3000,39,89
"Jaeger, Stephan",3000,77,50
"Rai, Aaron",3000,38,29
"Norgaard, Niklas",3500,89,91
"Yu, Kevin",3500,105,69
"Knapp, Jake",4000,175,97
"Smalley, Alex",4000,101,150
"Olesen, Thorbjorn",4500,81,79
"Hojgaard, Nicolai",5000,134,74
"Thorbjornsen, Michael",5500,189,189
"Svensson, Jesper",6000,133,107
"Fishburn, Patrick",6000,84,111
"Van Rooyen, Erik",6000,158,88
"Sigg, Greyson",6000,141,166
"Lower, Justin",7500,78,84
"Highsmith, Joe",7500,142,172
"Svensson, Adam",7500,110,142
"Ryder, Sam",8000,137,188
"Rozner, Antoine",8000,136,132
"Griffin, Lanto",9000,155,250
"Whaley, Vince",9000,143,122
"Castillo, Ricky",10000,201,238
"Schmid, Matthias",11000,172,114
"List, Luke",11000,203,134
"Suber, Jackson",11000,227,190
"Gordon, Will",12000,299,319
"Lee, Kyounghoon",12000,205,154
"Vilips, Karl",12000,281,263
"Kizzire, Patton",15000,192,119
"Fisk, Steven",20000,275,173
